what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1336852750902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852755273
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1336852758227
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1336852758410
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1336852758473
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1336852759102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852759257
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1336852759343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336852759345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852762580
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1336852775475
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20111006_r372,"org.eclipse.jdt.launching.macosx",1336852777725
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1336852778447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852779011
executed,command,com.google.gdt.eclipse.suite,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.suite.newWebAppProject",1336852779091
started,bundle,com.google.appengine.eclipse.webtools,2.6.1.v201205091048-rel-r37,"com.google.appengine.eclipse.webtools",1336852779160
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1336852781848
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1336852784456
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1336852784499
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1336852784573
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1336852784574
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1336852784812
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336852790724
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1336852792046
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1336852792256
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336852792358
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336852799408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852805575
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1336852828552
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1336852828581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852830609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1336852830666
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1336852834708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852851628
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1336852851725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852851794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852851913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852863801
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1336852863953
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336852869460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852873557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852885708
started,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1336852898795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852899417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852922070
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1336852922161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852922484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852929797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852967838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852970600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852970761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852971267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852971459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336852972994
activated,perspective,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.TeamSynchronizingPerspective",1336852973138
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336852973166
